Q3 2019	$5,639
Q2 2019	$5,909
Q1 2019	$5,149
Q4 2018	$5,704
Q3 2018	$5,575
Q2 2018	$5,742
Q1 2018	$4,944
Q4 2017	$5,258
Q3 2017	$5,303
Q2 2017	$5,731
Q1 2017	$4,854
Q4 2016	$4,940
Q3 2016	$5,139
Q2 2016	$5,384
Q1 2016	$4,826
Q4 2015	$4,977
Q3 2015	$5,318
Q2 2015	$5,111
Q1 2015	$4,414
Q4 2014	$4,628
Q3 2014	$4,800
Q2 2014	$5,011
Q1 2014	$4,166
Q4 2013	$4,427
Q3 2013	$4,545
Q2 2013	$4,643
Q1 2013	$4,084
Q4 2012	$4,172
Q3 2012	$4,309
Q2 2012	$4,616
Q1 2012	$3,991
Q4 2011	$4,108
Q3 2011	$4,311
Q2 2011	$4,136
Q1 2011	$3,103
Q4 2010	$3,114
Q3 2010	$3,192
Q2 2010	$3,168
Q1 2010	$2,630
Q4 2009	$2,711
Q3 2009	$2,666
Q2 2009	$2,616
Q1 2009	$2,357
Q4 2008	$2,733
Q3 2008	$2,891
Q2 2008	$2,869
Q1 2008	$2,530
Q4 2007	$2,492
Q3 2007	$2,588
Q2 2007	$2,583
Q1 2007	$2,198
Q4 2006	$2,276
Q3 2006	$2,342
Q2 2006	$2,449
Q1 2006	$2,019
Q4 2005	$1,988
Q3 2005	$1,989
Q2 2005	$1,944
Q1 2005	$1,663
